매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,상장주식수,ROE(%),주당배당금
6177.0,187.0,71.0,3.03,1.14,2.13,162.46,59.91,2942.85,314.0,21.78,15071.0,0.45,130.0,1.9,30.69,,,,
172788.0,8597.0,5733.0,4.98,3.32,6.3,109.15,169.04,1138.52,3653.0,11.27,59729.0,0.69,600.0,1.46,16.41,,,,
24593,-2799,-3557,-11.38,-14.46,-37.93,362.61,55.57,59.32,-4168,-3.74,9695,1.61,-,-,-,,,,
7333.0,365.0,218.0,4.98,2.97,5.55,51.04,214.88,431.05,1434.0,6.28,26531.0,0.34,100.0,1.11,7.0,,,,
1057464.0,36055.0,31856.0,3.41,3.01,4.32,154.71,46.57,4865.48,10761.0,11.2,267549.0,0.45,4000.0,3.32,35.35,,,,
7162.0,984.0,718.0,13.74,10.03,7.93,610.72,,410.51,2322.0,4.33,25525.0,0.39,600.0,5.97,29.98,,,,
2929.0,408.0,378.0,13.93,12.91,5.19,9.71,216.67,1281.96,335.0,10.18,6731.0,0.51,60.0,1.76,17.49,,,,
3098.0,193.0,27.0,6.24,0.89,2.26,134.82,67.84,3108.62,327.0,44.41,15230.0,0.95,250.0,1.72,72.15,,,,
37595.0,1313.0,574.0,3.49,1.53,3.38,202.67,50.28,1149.46,2135.0,16.21,63415.0,0.55,750.0,2.17,34.6,,,,
19423,1220,-2391,6.28,-12.31,-57.60,652.62,57.82,994.32,-6358,-4.93,11261,2.78,-,-,-,,,,
223525.0,8969.0,1910.0,4.01,0.85,3.16,177.18,64.49,6220.8,9312.0,27.12,304614.0,0.83,3500.0,1.39,36.81,,,,
1350.0,170.0,166.0,12.61,12.3,4.68,9.83,767.23,4021.09,9196.0,6.36,204845.0,0.29,500.0,0.85,5.4,,,,
9298.0,802.0,683.0,8.63,7.34,11.5,45.62,109.9,17827.03,6584.0,4.46,68983.0,0.43,1500.0,5.11,19.9,,,,
1915.0,52.0,68.0,2.72,3.53,4.86,42.14,91.06,1862.62,469.0,9.7,9851.0,0.46,40.0,0.88,8.52,,,,
9103.0,1507.0,1099.0,16.56,12.08,25.13,41.49,125.83,6263.09,7156.0,15.65,31494.0,3.56,1000.0,0.89,13.92,,,,
90069.0,2388.0,1436.0,2.65,1.59,6.22,174.62,32.46,2758.57,1729.0,22.7,28443.0,1.38,750.0,1.91,43.38,,,,
16167.0,1281.0,2751.0,7.92,17.02,12.62,79.01,89.21,1348.89,4295.0,2.57,37398.0,0.3,200.0,1.81,4.48,,,,
7281.0,60.0,-279.0,0.83,-3.83,-20.0,265.83,64.11,244.6,-407.0,-14.74,1494.0,4.02,82.0,1.37,-20.2,,,,
471697.0,44906.0,33132.0,9.52,7.02,8.92,1225.53,,1825.59,7923.0,6.01,98898.0,0.48,2210.0,4.64,26.0,,,,
2017,-70,-197,-3.45,-9.78,-8.99,56.20,96.84,151.99,-167,-6.19,1782,0.58,-,-,-,,,,
1326,-247,-410,-18.59,-30.96,-113.29,309.20,43.16,-86.23,-855,-1.06,392,2.31,,,-,,,,
9449.0,113.0,75.0,1.2,0.8,4.72,130.38,149.98,576.94,174.0,12.98,3792.0,0.6,80.0,3.54,45.01,,,,
5203.0,260.0,171.0,4.99,3.28,12.07,123.08,67.37,838.77,523.0,15.33,4591.0,1.75,180.0,2.24,34.4,,,,
23611.0,1398.0,674.0,5.92,2.85,3.86,130.13,51.51,794.35,1591.0,32.06,44022.0,1.16,1000.0,1.96,59.32,,,,
