,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),ROE(%),주당배당금
008770,31881.0,-1853.0,-2833.0,-5.81,-8.89,-36.74,363.79,70.14,269.18,-7085.0,-11.62,16472.0,5.0,200.0,0.24,-2.68,,
006060,12988.0,824.0,499.0,6.34,3.84,10.94,128.53,70.94,1100.34,675.0,10.56,6622.0,1.08,188.0,2.64,26.81,,
000850,1617.0,14.0,45.0,0.88,2.79,1.52,27.76,206.95,1956.87,2053.0,15.78,134620.0,0.24,750.0,2.31,36.54,,
016580,1717.0,284.0,232.0,16.55,13.51,8.21,11.11,421.53,3033.99,1257.0,13.28,19396.0,0.86,300.0,1.8,19.58,,
004800,25962.0,1371.0,12.0,5.28,0.05,-2.26,76.18,75.71,6769.4,-2504.0,-30.51,112172.0,0.68,5000.0,6.54,-188.64,,
298000,18172,609,-116,3.35,-0.64,-2.71,500.81,46.63,2486.25,-3641,-42.98,126614,1.24,-,-,-,,
000540,44930,259,227,0.58,0.51,3.16,1725.33,,122.14,349,8.12,11107,0.25,-,-,-,,
282330,61813.0,1622.0,1227.0,2.62,1.98,18.6,240.28,70.52,3803.31,7100.0,19.09,40337.0,3.36,2400.0,1.77,33.79,,
006360,101229.0,7504.0,3297.0,7.41,3.26,7.68,219.35,83.75,964.41,3890.0,9.72,51755.0,0.73,1200.0,3.17,30.81,,
066570,580579.0,39051.0,20638.0,6.73,3.55,13.23,174.79,73.04,1833.3,10885.0,12.4,85732.0,1.57,1200.0,0.89,11.02,,
034120,8603,745,-578,8.66,-6.72,-11.52,104.70,195.41,474.35,-3459,-6.81,29138,0.81,-,-,-,,
001380,851,48,-23,5.64,-2.69,-1.79,57.27,99.97,628.61,-51,-40.73,2812,0.74,-,-,-,,
001770,773.0,2.0,5.0,0.24,0.63,1.42,85.53,132.14,475.11,403.0,50.68,28484.0,0.72,100.0,0.49,24.84,,
034730,808188.0,-769.0,-1084.0,-0.1,-0.13,1.11,165.46,79.7,127125.62,2670.0,90.08,329764.0,0.73,7000.0,2.91,195.45,,
018670,44123.0,1902.0,2654.0,4.31,6.01,14.91,136.94,82.74,4087.44,28748.0,3.64,211555.0,0.49,4000.0,3.83,13.53,,
006120,45195.0,1730.0,3555.0,3.83,7.87,14.71,114.86,78.58,2638.2,13091.0,5.02,95522.0,0.69,1000.0,1.52,7.66,,
068400,8635,708,182,8.20,2.11,4.50,380.97,27.02,2319.48,469,19.28,10198,0.89,-,-,-,,
071970,2480,23,11,0.94,0.45,0.73,168.72,36.97,476.63,39,99.20,6131,0.63,-,-,-,,
037270,1071,61,-75,5.73,-6.97,-6.94,44.96,98.61,193.56,-106,-47.73,1487,3.40,,,-,,
012320,3105.0,195.0,165.0,6.27,5.31,3.68,36.8,234.49,5909.14,6446.0,4.84,193481.0,0.16,500.0,1.6,7.15,,
005320,2534.0,266.0,107.0,10.49,4.21,14.3,115.54,115.17,290.17,305.0,13.75,2169.0,1.94,50.0,1.19,18.09,,
002720,1304,60,22,4.63,1.68,3.35,106.56,50.63,136.93,109,84.56,3651,2.53,-,-,-,,
001570,1762,60,-40,3.41,-2.25,-5.36,175.53,99.33,213.24,-89,-74.07,1901,3.48,-,-,-,,
073240,21707,-45,-829,-0.21,-3.82,-6.74,229.41,78.14,-17.91,-289,-13.11,4065,0.93,-,-,-,,
008350,2685,-15,105,-0.56,3.92,5.72,55.72,139.05,249.09,95,49.22,1716,2.74,-,-,-,,
072710,5836.0,740.0,685.0,12.68,11.73,7.23,28.21,61.21,4134.85,14746.0,5.25,209586.0,0.37,2000.0,2.58,13.56,,
058730,2245,-72,-79,-3.21,-3.51,-6.54,108.88,109.26,1419.99,-513,-9.79,7956,0.63,,,-,,
006650,18827.0,1702.0,1272.0,9.04,6.76,6.93,12.32,695.56,4534.36,19576.0,11.75,306685.0,0.75,3000.0,1.3,14.56,,
192080,6582.0,1942.0,1248.0,29.5,18.96,16.94,10.27,204.39,7861.02,6127.0,9.82,39966.0,1.51,350.0,0.58,5.29,,
007590,1295.0,93.0,67.0,7.21,5.2,4.83,38.25,193.09,2071.46,493.0,12.97,11759.0,0.54,370.0,5.78,66.04,,
026960,4930.0,451.0,1206.0,9.15,24.46,8.61,9.2,1261.54,2584.24,1174.0,28.92,14005.0,2.42,700.0,2.06,59.02,,
102260,8640.0,650.0,372.0,7.52,4.3,2.39,86.78,65.61,570.58,150.0,32.95,6288.0,0.79,250.0,5.06,164.81,,
001520,6029.0,-76.0,-289.0,-1.25,-4.79,-2.92,27.86,111.98,707.7,-98.0,-12.14,3957.0,0.3,40.0,3.36,-34.16,,
008970,1738,74,70,4.27,4.05,8.41,75.28,52.51,47.76,59,18.92,736,1.52,-,-,-,,
014820,10785.0,977.0,616.0,9.06,5.71,10.97,103.71,65.39,264.46,1989.0,17.95,18861.0,1.89,600.0,1.68,29.97,,
002690,1229,-1,3,-0.10,0.25,0.23,14.46,401.68,1640.44,18,124.85,7890,0.28,-,-,-,,
013570,7894.0,417.0,30.0,5.29,0.38,-3.39,70.3,124.17,2601.91,-445.0,-10.19,13614.0,0.33,100.0,2.21,-21.08,,
027740,2148,-309,-352,-14.41,-16.37,-44.05,167.22,36.65,-36.29,-995,-2.99,1806,1.65,-,-,-,,
138040,284706.0,13721.0,9253.0,4.82,3.25,16.06,911.51,,9535.09,3587.0,2.74,25445.0,0.39,900.0,9.17,24.19,,
090370,490,3,-193,0.66,-39.48,-33.92,44.06,128.60,63.79,-1488,-3.60,4159,1.29,,,-,,
009680,1786.0,114.0,149.0,6.36,8.32,3.61,6.71,1501.0,2531.17,450.0,26.21,18978.0,0.62,400.0,3.39,58.82,,
085620,36283.0,1188.0,824.0,3.28,2.27,3.57,1678.01,,136.39,416.0,9.25,14780.0,0.26,100.0,2.6,34.39,,
